                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92551,                 1.3531,                 1.5719,                0.62742,                0.62891,                0.64339,                0.32731,                 1.8304,                 1.5803,                 2.6283,               0.070077,              0.0033248,              0.0033248
                      1,                0.85283,                 1.0222,                 1.4568,                0.65458,                0.59314,                 0.6182,                0.30736,                 1.7605,                 1.5554,                 2.3114,               0.039747,              0.0063285,              0.0063285
                      2,                0.92422,                 1.1015,                 1.5076,                0.60999,                0.49031,                0.50746,                0.22532,                 2.0338,                 1.8389,                 2.8218,              0.0090878,              0.0090023,              0.0090023
                      3,                0.94664,                 1.1727,                 1.5346,                0.48657,                0.47839,                0.42534,                0.18692,                 1.7728,                 2.0441,                  2.447,               0.008515,               0.008515,               0.008515
                      4,                 0.9304,                 1.1434,                 1.5274,                0.69781,                0.57471,                0.64024,                 0.3576,                 1.7465,                   1.59,                 2.4374,               0.008515,               0.008515,               0.008515
                      5,                0.88699,                 1.0734,                  1.489,                0.74795,                0.57934,                0.64886,                0.34883,                 1.6696,                 1.5066,                 2.4253,                0.00802,                0.00802,                0.00802
                      6,                0.83965,                 1.0076,                 1.4536,                0.71813,                0.64083,                0.70898,                 0.3852,                 1.7292,                 1.2936,                 2.5931,               0.007525,               0.007525,               0.007525
                      7,                0.82499,                0.96262,                 1.4387,                0.77699,                0.64382,                0.72943,                0.40141,                 1.6344,                 1.2133,                 2.2882,                0.00703,                0.00703,                0.00703
                      8,                0.79778,                0.92242,                 1.4123,                0.73499,                0.65723,                0.72395,                0.41638,                 1.5587,                 1.2782,                 2.1663,               0.006535,               0.006535,               0.006535
                      9,                0.77541,                0.88099,                 1.3954,                0.81463,                0.65127,                0.76262,                0.44668,                 1.5212,                 1.0723,                  2.186,                0.00604,                0.00604,                0.00604
                     10,                0.86471,                 0.8508,                 1.5677,                0.77592,                0.66617,                0.73035,                0.41131,                 1.6536,                 1.1678,                 2.3824,               0.005545,               0.005545,               0.005545
                     11,                0.84232,                0.77517,                 1.5494,                0.81643,                0.69151,                0.78263,                 0.4676,                 1.5172,                 1.0866,                 2.1985,                0.00505,                0.00505,                0.00505
                     12,                0.81409,                0.72257,                 1.5083,                0.79557,                0.72499,                0.79729,                0.50521,                 1.3534,                 1.0263,                 1.9359,               0.004555,               0.004555,               0.004555
                     13,                0.78533,                0.66839,                  1.469,                0.84916,                0.71313,                0.81904,                0.50739,                 1.3786,                0.95882,                 1.9893,                0.00406,                0.00406,                0.00406
                     14,                0.76715,                 0.6265,                 1.4603,                0.81498,                0.74814,                0.83479,                0.52868,                 1.3214,                0.91623,                 1.9107,               0.003565,               0.003565,               0.003565
                     15,                0.73212,                0.57603,                 1.4164,                0.86309,                0.74367,                0.84079,                0.53844,                 1.3092,                0.86296,                  1.858,                0.00307,                0.00307,                0.00307
                     16,                 0.7039,                0.53598,                  1.384,                0.87551,                0.76155,                0.85277,                0.57648,                 1.1809,                0.82041,                 1.7285,               0.002575,               0.002575,               0.002575
                     17,                0.67916,                0.49147,                  1.363,                0.88593,                0.77049,                0.87104,                 0.5687,                 1.2863,                 0.7842,                 1.8353,                0.00208,                0.00208,                0.00208
                     18,                0.65857,                 0.4614,                 1.3397,                0.86985,                0.79682,                0.86396,                0.58144,                  1.234,                 0.7542,                 1.8027,               0.001585,               0.001585,               0.001585
                     19,                0.62709,                  0.419,                 1.3071,                0.86588,                0.79861,                0.87056,                0.59389,                 1.2025,                0.74938,                 1.7523,                0.00109,                0.00109,                0.00109
